siret_txt,siret,société,nom_historique,naf732,secteur,activité_naf_détaillée_(insee),enseigne,année_de_création_de_létablissement,commune,code_commune_insee,epci,effectifs_2024,date_de_mise_à_jour_des_effectifs,segmentation,sport-montagne,sportdomaine,cleantech,sante,santedomaine,energie,energiedomaine,numerique,num_domaine,chimie,chimiedomaine
32599478800025,32599478-00025,METALLERIE SERRURERIE VERCELLINO,DECOUPE LASER VERCELLINO (DLV),2511Z,Industrie,"Métallurgie, travail des métaux, usinage",,1983,IZEAUX,38194.0,CC de Bièvre Est,11.0,2020-06-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
85154414800030,85154414-00030,MILK ARCHITECTES,,7311Z,Services aux entreprises,Autres services aux entreprises,MILK ARCHITECTES,,SAINT MARTIN D'HERES,38421.0,Grenoble-Alpes-Métropole,11.0,2020-06-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
32910922700135,32910922-00135,MISSLER SOFTWARE,MISSLER SOFTWARE  ex CATALPA Gropu MISSLER ex 390178,5829C,Services aux entreprises,"Informatique : ESN, logiciels, Data",,1987,GIERES,38179.0,Grenoble-Alpes-Métropole,11.0,2020-06-01 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
33805105500030,33805105-00030,MONNIER SERMI,MONNIER-SERMI ex MECANIQUE  MONNIER EX VERBOOM ET DUROUCHARD EX SERMI 433659,2562B,Industrie,"Métallurgie, travail des métaux, usinage",,1969,SAINT ROMANS,38453.0,CC Saint-Marcellin Vercors Isère Communauté,11.0,2020-06-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
34438276700020,34438276-00020,MONSIEUR STORE,MONSIEUR STORE,7740Z,Services aux entreprises,"Services juridiques, comptables, sièges sociaux, autres",,1989,VEUREY VOROIZE,38540.0,Grenoble-Alpes-Métropole,11.0,,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
38443828900033,38443828-00033,MULTISERVICES SARL,MULTISERVICES,4677Z,Services aux entreprises,Commerce de gros,,1993,GONCELIN,38181.0,CC Le Grésivaudan,11.0,2024-01-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
34513417500057,34513417-00057,OMICRON TECHNOLOGIES,OMICRON TECHNOLOGIES,4669B,Services aux entreprises,Commerce de gros,,1990,EYBENS,38158.0,Grenoble-Alpes-Métropole,11.0,2020-06-01 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Microélectronique & Nanotechnologies,0.0,
38780790200052,38780790-00052,ORIS,ORIS ex ORIS SFT,8220Z,Services aux entreprises,Autres services aux entreprises,SFT RHONE ALPES,1994,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,11.0,2020-06-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
40539657300041,40539657-00041,PRUGNEAU-SCHAUB,PRUGNEAU SCHAUB,8299Z,Services aux entreprises,Autres services aux entreprises,,2005,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,11.0,2020-06-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
52537894900057,52537894-00057,PUMPUP,PUMPUP,7022Z,Services aux entreprises,"Services juridiques, comptables, sièges sociaux, autres",,2014,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,11.0,2020-06-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
81847701000016,81847701-00016,RANEA TRAITEMENT SURFACE INDUSTRIEL,RANEA TRAITEMENT SURFACE INDUSTRIEL,2561Z,Industrie,"Métallurgie, travail des métaux, usinage",,2016,LE PONT DE CLAIX,38317.0,Grenoble-Alpes-Métropole,11.0,2020-06-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
40415122700026,40415122-00026,RELAVE ET FANNIERE,RELAVE ET FANNIERE R.E.F.,6202A,Services aux entreprises,"Informatique : ESN, logiciels, Data",REF,1997,MIRIBEL LANCHATRE,38235.0,Grenoble-Alpes-Métropole,11.0,2024-01-01 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
41342570300019,41342570-00019,SAINT ANDRE,SAINT ANDRE,8219Z,Services aux entreprises,Autres services aux entreprises,,1998,PONT DE CLAIX (LE ),38317.0,Grenoble-Alpes-Métropole,11.0,,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
'05650224800091,0565022-00091,SAMSE,SAMSE,4673A,Services aux entreprises,Commerce de gros,,1969,LE BOURG D'OISANS,38052.0,CC de l'Oisans,11.0,2020-06-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
42251877900034,42251877-00034,SARL DEGECOM,SARL DEGECOM,6202A,Services aux entreprises,"Informatique : ESN, logiciels, Data",,2006,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,11.0,2020-06-01 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
35187294000017,35187294-00017,SAS ETS JEAN-CLAUDE PARRON,PARRON JEAN-CLAUDE ETS,4661Z,Services aux entreprises,Commerce de gros,,1990,PREBOIS,38321.0,CC du Trièves,11.0,2024-01-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
33191188300014,33191188-00014,SES DEBORDES,SES DEBORDES,4669A,Services aux entreprises,Commerce de gros,,1986,BRESSON,38057.0,Grenoble-Alpes-Métropole,11.0,2024-01-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
'06750029800038,0675002-00038,SINEQUANON,COGEOR,7112B,Services aux entreprises,"Ingénierie, architecture, analyses techniques",,1969,ECHIROLLES,38151.0,Grenoble-Alpes-Métropole,11.0,,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
43464401900029,43464401-00029,SOC DE GESTION ET D'ADMINISTRATION,,7022Z,Services aux entreprises,"Services juridiques, comptables, sièges sociaux, autres",STGA,,LA MURETTE,38270.0,CA du Pays Voironnais,11.0,2020-06-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
'07250307100010,0725030-00010,SOCIETE A M R,AMR,2511Z,Industrie,"Métallurgie, travail des métaux, usinage",,1969,MARCILLOLES,38218.0,CC Bièvre Isère,11.0,2024-01-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
